Zeit;Kanal A
(ms);(mV)

-25,00999905;-0,37278540
-25,00499905;-0,18639270
-24,99999905;0,55979330
-24,99499905;-0,37278540
-24,98999905;0,55979330
-24,98499905;-0,74618600
-24,97999905;0,00000000
-24,97499905;1,11958700
-24,96999905;0,37278540
-24,96499905;0,18639270
-24,95999905;0,00000000
-24,95499905;0,18639270
-24,94999905;0,93319390
-24,94499905;0,55979330
-24,93999905;0,55979330
-24,93499905;0,55979330
-24,92999905;0,55979330
-24,92499905;0,18639270
-24,91999905;0,55979330
-24,91499905;0,18639270
-24,90999905;0,37278540
-24,90499905;0,55979330
-24,89999905;0,18639270
-24,89499905;0,37278540
-24,88999905;0,18639270
-24,88499905;0,55979330
-24,87999905;0,00000000
-24,87499906;0,00000000
-24,86999906;0,55979330
-24,86499906;0,55979330
-24,85999906;0,00000000
-24,85499906;0,18639270
-24,84999906;0,74618600
-24,84499906;0,74618600
-24,83999906;0,55979330
-24,83499906;0,74618600
-24,82999906;0,55979330
-24,82499906;0,74618600
-24,81999906;0,74618600
-24,81499906;0,74618600
-24,80999906;1,30659400
-24,80499906;1,11958700
-24,79999906;1,11958700
-24,79499906;0,37278540
-24,78999906;0,18639270
-24,78499906;0,74618600
-24,77999906;0,93319390
-24,77499906;1,30659400
-24,76999906;0,00000000
-24,76499906;0,74618600
-24,75999906;0,55979330
-24,75499906;0,93319390
-24,74999906;0,74618600
-24,74499906;0,93319390
-24,73999906;0,55979330
-24,73499906;0,93319390
-24,72999906;0,74618600
-24,72499906;0,93319390
-24,71999906;0,93319390
-24,71499906;0,93319390
-24,70999906;0,74618600
-24,70499906;0,55979330
-24,69999906;0,55979330
-24,69499906;0,37278540
-24,68999906;0,55979330
-24,68499906;0,00000000
-24,67999906;-0,55979330
-24,67499906;-0,18639270
-24,66999906;-0,74618600
-24,66499906;-0,74618600
-24,65999906;-0,37278540
-24,65499906;-0,18639270
-24,64999906;-0,55979330
-24,64499906;-0,55979330
-24,63999906;-0,93319390
-24,63499906;-0,74618600
